number,name,population,area,density
1,Afghanistan,382846,652860,60
2,Albania,287797,27400,105
3,Algeria,4385144,2381740,18
4,Andorra,77265,470,164
5,Angola,32866272,1246700,26
6,Antigua and Barbuda,97929,440,223
7,Argentina,45195774,2736690,17
8,Armenia,296343,28470,104
9,Australia,2549984,7682300,3
10,Austria,900698,82409,109
11,Azerbaijan,1013977,82658,123
12,Bahamas,393244,1010,39
13,Bahrain,170175,760,2239
14,Bangladesh,16468983,130170,1265
15,Barbados,287375,430668
16,Belarus,9449323,202910,47
17,Belgium,1158923,30280,383
18,Belize,397628,2210,17
19,Benin,1212300,112760,108
20,Bhutan,771608,3817,20
21,Bolivia,1167321,1083300,11
22,Bosnia and Herzegovina,328019,51000,64
23,Botswana,235127,566730,4
24,Brazil,21255917,8358140,25
25,Brunei,437479,570,83
26,Bulgaria,694845,108560,64
27,Burkina Faso,2090373,273600,76
28,Burundi,1189084,25680,463
29,Côte d'Ivoire,2637874,318000,83
30,Cabo Verde,555987,430,138
31,Cambodia,1671865,176520,95
32,Cameroon,2654563,472710,56
33,Canada,3774254,9093510,4
34,Central African Republic,482967,622980,8
35,Chad,1642564,1259200,13
36,Chile,1911601,743532,26
37,China,143923776,9388211,153
38,Colombia,5088291,1109500,46
39,Comoros,869601,161,467
40,Congo (Congo-Brazzaville),551887,341500,16
41,Costa Rica,509418,51060,100
42,Croatia,410567,55960,73
43,Cuba,1132616,106440,106
44,Cyprus,120759,9240,131
45,Czechia (Czech Republic),1070881,77240,139
46,Democratic Republic of the Congo,8956103,2267050,40
47,Denmark,579202,42430,137
48,Djibouti,988000,2380,43
49,Dominica,71986,750,96
50,Dominican Republic,10847910,48320,225
51,Ecuador,1764354,248360,71
52,Egypt,10233404,995450,103
53,El Salvador,648605,20720,313
54,Equatorial Guinea,140285,28050,50
55,Eritrea,354621,101000,35
56,Estonia,132635,42390,31
57,Eswatini (fmr. "Swaziland"),116064,17200,67
58,Ethiopia,11496388,1000000,115
59,Fiji,896445,1870,49
60,Finland,554020,303890,18
61,France,6527311,547557,119
62,Gabon,222534,257670,9
63,Gambia,241668,10120,239
64,Georgia,398967,69490,57
65,Germany,8378342,348560,240
66,Ghana,3107240,227540,137
67,Greece,1042354,128900,81
68,Grenada,112523,340,331
69,Guatemala,17915568,107160,167
70,Guinea,1313295,245720,53
71,Guinea-Bissau,196801,28120,70
72,Guyana,786552,19650,4
73,Haiti,1140228,27560,414
74,Holy See,801,0,203
75,Honduras,9904607,111890,89
76,Hungary,966051,90530,107
77,Iceland,341243,10050,3
78,India,138004385,2973190,464
79,Indonesia,27352315,1811570,151
80,Iran,8399249,1628550,52
81,Iraq,4022293,434320,93
82,Ireland,493786,68890,72
83,Israel,865535,21640,400
84,Italy,6046126,294140,206
85,Jamaica,296167,10830,273
86,Japan,12647661,364555,347
87,Jordan,1020334,88780,115
88,Kazakhstan,1877607,2699700,7
89,Kenya,5377196,569140,94
90,Kiribati,119449,810,147
91,Kuwait,4270571,17820,240
92,Kyrgyzstan,652495,191800,34
93,Laos,727560,230800,32
94,Latvia,188698,62200,30
95,Lebanon,682545,10230,667
96,Lesotho,214249,30360,71
97,Liberia,505781,96320,53
98,Libya,687192,1759540,4
99,Liechtenstein,38128,160,238
100,Lithuania,2722289,62674,43
101,Luxembourg,625978,290,242
102,Madagascar,2769118,581795,48
103,Malawi,1912952,94280,203
104,Malaysia,3236599,328550,99
105,Maldives,540544,300,1802
106,Mali,20250833,1220190,17
107,Malta,441543,320,1380
108,Marshall Islands,59190,180,329
109,Mauritania,	464958,	1030700,	5
110,Mauritius,127168,2030,626
111,Mexico,12893253,1943950,66
112,Micronesia,548914,700,784
113,Moldova,4033963,32850,123
114,Monaco,39242,1,26337
115,Mongolia,327829,1553560,2
116,Montenegro,	628066,	1350,	47
117,Morocco,3691060,446300,83
118,Mozambique,3125535,786380,40
119,Myanmar (formerly Burma),5440900,653290,83
120,Namibia,254005,823290,3
121,Nauru,10824,20,541
122,Nepal,29136808,143350,203
123,Netherlands,1713472,33720,508
124,New Zealand,482233,263310,18
125,Nicaragua,662454,120340,55
126,Niger,2420644,1266700,19
127,Nigeria,20613989,910770,226
128,North Korea,2577816,120410,214
129,North Macedonia,208374,25220,83
130,Norway,542141,365268,15
131,Oman,510626,309500,16
132,Pakistan,22089240,770880,287
133,Palau,18094,460,39
134,Palestine State,5101414,6020,847
135,Panama,431467,74340,58
136,Papua New Guinea,894724,452860,20
137,Paraguay,713238,397300,18
138,Peru,3297154,1280000,26
139,Philippines,10958178,298170,368
140,Poland,3784611,306230,124
141,Portugal,1019609,91590,111
142,Qatar,288153,11610,248
143,Romania,1923791,230170,84
144,Russia,14593462,16376870,9
145,Rwanda,1295218,24670,525
146,Saint Kitts and Nevis,53199,260205
147,Saint Lucia,183627,610,301
148,Saint Vincent and the Grenadines,110940,390,284
149,Samoa,198414,2830,70
150,San Marino,33931,60,566
151,Sao Tome and Principe,219159,960,228
152,Saudi Arabia,3481371,2149690,16
153,Senegal,1674327,192530,87
154,Serbia,873771,87460,100
155,Seychelles,98347,460,214
156,Sierra Leone,7976983,72180,111
157,Singapore,585042,700,8358
158,Slovakia,545942,48088,114
159,Slovenia,207838,20140,103
160,Solomon Islands,686884,2790,25
161,Somalia,1589322,627340,25
162,South Africa,5930890,1213090,49
163,South Korea,5126985,97230,527
164,South Sudan,1119325,610952,18
165,Spain,4675478,498800,94
166,Sri Lanka,2141349,62710,341
167,Sudan,4384960,1765048,25
168,Suriname,586632,15600,4
169,Sweden,1009965,410340,25
170,Switzerland,865422,39516,219
171,Syria,1750058,183630,95
172,Tajikistan,953745,139960,68
173,Tanzania,5973418,885800,67
174,Thailand,6979978,510890,137
175,Timor-Leste,131845,14870,89
176,Togo,827824,54390,152
177,Tonga,105695,720,147
178,Trinidad and Tobago,1399488,5130,273
179,Tunisia,1181819,155360,76
180,Turkey,8433967,769630,110
181,Turkmenistan,603100,469930,13
182,Tuvalu,11792,30,393
183,Uganda,45741007,199810,229
184,Ukraine,4373362,579320,75
185,United Arab Emirates,989002,83600,118
186,United Kingdom,6788611,241930,281
187,United States of America,33100251,9147420,36
188,Uruguay,347330,175020,20
189,Uzbekistan,3346903,425400,79
190,Vanuatu,307145,1290,25
191,Venezuela,2843540,882050,32
192,Vietnam,9733879,310070,314
193,Yemen,2982564,527970,56
194,Zambia,1838355,743390,25
195,Zimbabwe,1486224,386850,38
